127.0.0.1, 2018-06-28 13:59:01, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.485000
127.0.0.1, 2018-06-28 13:59:01, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.485000
127.0.0.1, 2018-06-28 13:59:01, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.485000
127.0.0.1, 2018-06-28 13:59:01, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.485000
127.0.0.1, 2018-06-28 13:59:13, GET, /resttest2/default/api/reqs, HTTP/1.1, 500, 0.374000
127.0.0.1, 2018-06-28 13:59:23, POST, /resttest2/default/api/reqs, HTTP/1.1, 500, 0.081000
127.0.0.1, 2018-06-28 13:59:28, GET, /resttest2/default/api/reqs, HTTP/1.1, 500, 0.078000
127.0.0.1, 2018-06-28 13:59:34, GET, /admin/default/errors/resttest2, HTTP/1.1, 200, 1.324000
127.0.0.1, 2018-06-28 13:59:39, GET, /admin/default/errors/resttest2/old, HTTP/1.1, 200, 0.131000
127.0.0.1, 2018-06-28 13:59:45, GET, /admin/default/errors/resttest2/new, HTTP/1.1, 200, 1.060000
127.0.0.1, 2018-06-28 14:00:04, GET, /admin/default/errors/resttest2/old, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-06-28 14:00:07, GET, /admin/default/ticket/resttest2/127.0.0.1.2018-06-28.13-59-28.32ac5bb3-a6c5-4b9e-9980-4bee5cd4e3a1, HTTP/1.1, 200, 0.375000
127.0.0.1, 2018-06-28 14:00:20, GET, /admin/default/errors/resttest2/old, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/default/edit/resttest2/controllers/default.py, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-28 14:00:43, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.020000
